         124761 function calls (123510 primitive calls) in 1.649 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.001 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)     
        1    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:70(close)
        9    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
        3    0.000    0.000    0.000    0.000 functools.py:421(_unwrap_partial)     
      723    0.001    0.000    0.033    0.000 genericpath.py:16(exists)
        3    0.000    0.000    0.000    0.000 hooks.py:15(default_hooks)
        3    0.000    0.000    0.000    0.000 hooks.py:16(<dictcomp>)
        1    0.000    0.000    0.000    0.000 hooks.py:22(dispatch_hook)
        2    0.000    0.000    0.000    0.000 idna.py:147(encode)
        1    0.000    0.000    0.000    0.000 idna.py:300(getregentry)
        3    0.000    0.000    0.000    0.000 inspect.py:1049(__init__)
      262    0.000    0.000    0.000    0.000 inspect.py:1059(tokeneater)
        3    0.001    0.000    0.014    0.005 inspect.py:1109(getblock)
        3    0.000    0.000    0.225    0.075 inspect.py:1120(getsourcelines)       
     1544    0.001    0.000    0.001    0.000 inspect.py:182(ismodule)
        6    0.000    0.000    0.000    0.000 inspect.py:191(isclass)
        9    0.000    0.000    0.000    0.000 inspect.py:199(ismethod)
        9    0.000    0.000    0.000    0.000 inspect.py:277(isfunction)
        3    0.000    0.000    0.000    0.000 inspect.py:290(_has_code_flag)        
        3    0.000    0.000    0.000    0.000 inspect.py:308(iscoroutinefunction)   
        9    0.000    0.000    0.000    0.000 inspect.py:355(istraceback)
        9    0.000    0.000    0.000    0.000 inspect.py:365(isframe)
       30    0.000    0.000    0.000    0.000 inspect.py:379(iscode)
        3    0.000    0.000    0.000    0.000 inspect.py:612(unwrap)
        3    0.000    0.000    0.000    0.000 inspect.py:629(_is_wrapper)
      752    0.001    0.000    0.001    0.000 inspect.py:773(getfile)
      735    0.004    0.000    0.041    0.000 inspect.py:813(getsourcefile)
     2205    0.001    0.000    0.001    0.000 inspect.py:820(<genexpr>)
     2203    0.001    0.000    0.001    0.000 inspect.py:823(<genexpr>)
      733    0.002    0.000    0.059    0.000 inspect.py:838(getabsfile)
        3    0.004    0.001    0.207    0.069 inspect.py:850(getmodule)
        3    0.000    0.000    0.211    0.070 inspect.py:932(findsource)
        6    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
        3    0.000    0.000    0.002    0.001 linecache.py:52(checkcache)
        1    0.000    0.000    0.000    0.000 linecache.py:80(updatecache)
        3    0.000    0.000    1.649    0.550 memory_profiler.py:1185(wrapper)      
        3    0.000    0.000    0.000    0.000 memory_profiler.py:1201(choose_backend)
       18    0.000    0.000    0.000    0.000 memory_profiler.py:1215(<genexpr>)    
        3    0.000    0.000    0.000    0.000 memory_profiler.py:640(__init__)      
        3    0.000    0.000    0.226    0.075 memory_profiler.py:645(add)
        6    0.000    0.000    0.000    0.000 memory_profiler.py:689(items)
       33    0.000    0.000    0.000    0.000 memory_profiler.py:695(<genexpr>)     
        3    0.000    0.000    0.000    0.000 memory_profiler.py:702(__init__)      
        3    0.000    0.000    0.226    0.075 memory_profiler.py:713(__call__)      
        3    0.000    0.000    0.226    0.075 memory_profiler.py:728(add_function)  
        6    0.000    0.000    0.000    0.000 memory_profiler.py:740(_count_ctxmgr) 
        3    0.000    0.000    0.000    0.000 memory_profiler.py:748(wrap_function) 
        3    0.000    0.000    1.400    0.467 memory_profiler.py:759(f)
        3    0.000    0.000    0.000    0.000 memory_profiler.py:775(enable_by_count)
        3    0.000    0.000    0.000    0.000 memory_profiler.py:782(disable_by_count)
        3    0.000    0.000    0.000    0.000 memory_profiler.py:842(enable)        
        3    0.000    0.000    0.000    0.000 memory_profiler.py:849(disable)       
        3    0.001    0.000    0.022    0.007 memory_profiler.py:853(show_results)  
        2    0.000    0.000    0.000    0.000 message.py:120(__init__)
        2    0.000    0.000    0.000    0.000 message.py:181(is_multipart)
        1    0.000    0.000    0.000    0.000 message.py:213(get_payload)
        4    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        1    0.000    0.000    0.000    0.000 message.py:303(set_payload)
        1    0.000    0.000    0.000    0.000 message.py:451(items)
        1    0.000    0.000    0.000    0.000 message.py:459(<listcomp>)
        8    0.000    0.000    0.000    0.000 message.py:462(get)
        6    0.000    0.000    0.000    0.000 message.py:479(set_raw)
        4    0.000    0.000    0.000    0.000 message.py:497(get_all)
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)      
        3    0.000    0.000    0.000    0.000 message.py:588(get_content_maintype)  
        1    0.000    0.000    0.000    0.000 models.py:106(_encode_params)
        1    0.000    0.000    0.000    0.000 models.py:207(register_hook)
        1    0.000    0.000    0.000    0.000 models.py:216(<genexpr>)
        1    0.000    0.000    0.000    0.000 models.py:258(__init__)
        1    0.000    0.000    0.000    0.000 models.py:335(__init__)
        1    0.000    0.000    0.001    0.001 models.py:352(prepare)
        1    0.000    0.000    0.000    0.000 models.py:394(prepare_method)
        1    0.000    0.000    0.000    0.000 models.py:410(prepare_url)
        1    0.000    0.000    0.000    0.000 models.py:484(prepare_headers)        
        1    0.000    0.000    0.000    0.000 models.py:495(prepare_body)
        1    0.000    0.000    0.000    0.000 models.py:573(prepare_content_length) 
